"Write Your Own Review", "Write Your Own Review"
"* Required Fields", "* Required Fields"
"You're reviewing:", "You're reviewing:"
"Your Rating", "Your Rating"
"Nickname", "Nickname"
"Summary", "Summary",
"Review", "Review",
"What I like about this product", "What I like about this product",
"What I don't like about this product", "What I don't like about this product"
"Upload Image", "Upload Image"
"Submit Review", "Submit Review"
"Only registered users can write reviews. Please, <a href="%1">Sign in</a> or <a href="%2">create an account</a>", "Only registered users can write reviews. Please, <a href="%1">Sign in</a> or <a href="%2">create an account</a>"
"Terrible", "Terrible"
"Poor", "Poor"
"Average", "Average"
"Very good", "Very good"
"Excellent", "Excellent"
